0,1,2
"42.643778000000005,-111.65606299999999",2020-03-01,24
"42.482791,-113.74183300000001",2020-03-01,31
"44.185815000000005,-112.278608",2020-03-01,27
"46.485240000000005,-116.185221",2020-03-01,35
"44.285168,-114.04803500000001",2020-03-01,24
"43.115320000000004,-115.68440700000001",2020-03-01,38
"42.0993,-111.872202",2020-03-01,27
"44.014844000000004,-111.61546399999999",2020-03-01,27
"43.884322999999995,-116.506739",2020-03-01,38
"42.852717,-114.75106699999999",2020-03-01,33
"45.974127,-116.10656599999999",2020-03-01,32
"43.691123,-111.969394",2020-03-01,27
"42.698446999999994,-114.46266899999999",2020-03-01,33
"47.73713,-116.832581",2020-03-01,33
"46.742968,-116.93443400000001",2020-03-01,32
"45.127412,-113.86153",2020-03-01,23
"46.238065999999996,-116.25738999999999",2020-03-01,31
"42.973467,-114.32606899999999",2020-03-01,33
"43.819114,-111.794073",2020-03-01,26
"42.613265999999996,-113.712227",2020-03-01,31
"46.394126,-116.95046200000002",2020-03-01,37
"42.181568,-112.30127399999999",2020-03-01,27
"43.376748,-116.68155800000001",2020-03-01,38
"44.020334000000005,-116.894281",2020-03-01,39
"42.775001,-112.829004",2020-03-01,29
"47.514637,-116.085925",2020-03-01,25
"43.692977,-111.125546",2020-03-01,24
"42.558563,-114.504002",2020-03-01,33
"44.758677,-116.073719",2020-03-01,24
"44.297897999999996,-116.919922",2020-03-01,37
"39.943826,-91.328948",2020-03-01,51
"37.149251,-89.289666",2020-03-01,51
"38.884622,-89.432819",2020-03-01,49
"42.293981,-88.851989",2020-03-01,41
"39.964815,-90.746466",2020-03-01,51
"41.382964,-89.42378000000001",2020-03-01,46
"39.12353,-90.63801",2020-03-01,52
"42.071878999999996,-89.963255",2020-03-01,44
"39.979865999999994,-90.319209",2020-03-01,50
"40.128073,-88.233083",2020-03-01,46
"39.525298,-89.254627",2020-03-01,49
"39.351007,-87.800246",2020-03-01,46
"38.716132,-88.490134",2020-03-01,48
"38.587753,-89.472099",2020-03-01,50
"39.487297,-88.258277",2020-03-01,47
"41.865937,-87.757714",2020-03-01,41
"39.00569,-87.748024",2020-03-01,47
"39.275965,-88.28088699999999",2020-03-01,47
"41.927172,-88.72946",2020-03-01,43
"40.171701,-88.908946",2020-03-01,47
"39.766826,-88.279794",2020-03-01,47
"41.849815,-88.071617",2020-03-01,43
"39.635942,-87.71537",2020-03-01,46
"38.402493,-88.04063000000001",2020-03-01,48
"39.094722999999995,-88.576033",2020-03-01,48
"38.997828999999996,-89.033295",2020-03-01,49
"40.527421999999994,-88.217453",2020-03-01,45
