0,1,2
"31.4509,-105.3775",2020-12-01,48
"28.3511,-99.0968",2020-12-01,51
"31.5495,-97.2015",2020-12-01,45
"29.885,-101.1466",2020-12-01,51
"30.2151,-96.4103",2020-12-01,46
"37.0141,-78.6614",2020-12-01,40
"37.9395,-76.9419",2020-12-01,44
"37.3119,-80.7172",2020-12-01,30
"46.0248,-121.9532",2020-12-01,37
"44.0784,-88.2121",2020-12-01,29
"43.9082,-91.1118",2020-12-01,26
"44.1051,-87.3138",2020-12-01,31
"31.7517,-86.682",2020-12-01,40
"33.7717,-85.8225",2020-12-01,36
"31.6855,-87.8186",2020-12-01,42
"59.5751,-135.3354",2020-12-01,26
"34.5457,-93.6641",2020-12-01,42
"35.9101,-93.2151",2020-12-01,41
"34.9464,-92.9269",2020-12-01,43
"36.6107,-121.0853",2020-12-01,56
"37.2208,-121.6906",2020-12-01,56
"38.0094,-108.4273",2020-12-01,19
"26.9548,-81.1908",2020-12-01,55
"30.7878,-85.2104",2020-12-01,41
"25.6105,-80.499",2020-12-01,63
"27.1844,-82.3658",2020-12-01,58
"31.1973,-81.98299999999999",2020-12-01,41
"30.7799,-82.1396",2020-12-01,43
"34.4742,-85.3453",2020-12-01,34
"30.9177,-82.7026",2020-12-01,41
"31.5351,-84.2144",2020-12-01,40
"34.8338,-83.9896",2020-12-01,28
"33.779,-82.7479",2020-12-01,37
"44.4482,-116.7978",2020-12-01,32
"39.0011,-89.0179",2020-12-01,31
"41.3433,-88.8859",2020-12-01,29
"40.1291,-89.3653",2020-12-01,30
"39.394,-87.1158",2020-12-01,31
"38.3179,-85.9115",2020-12-01,31
"40.5158,-85.6549",2020-12-01,29
"41.325,-86.26899999999999",2020-12-01,31
"41.3285,-94.4782",2020-12-01,33
"40.7481,-92.4103",2020-12-01,31
"43.378,-94.6694",2020-12-01,29
"42.7365,-93.2714",2020-12-01,28
"41.3402,-95.5449",2020-12-01,34
"42.733000000000004,-93.7347",2020-12-01,30
"38.4812,-98.7678",2020-12-01,41
"37.5475,-101.2994",2020-12-01,44
"37.553000000000004,-98.1445",2020-12-01,41
"39.1895,-95.039",2020-12-01,37
"37.2439,-100.3601",2020-12-01,45
"39.7839,-99.8992",2020-12-01,43
"38.9168,-98.7656",2020-12-01,41
"38.0745,-82.7383",2020-12-01,32
"37.8104,-83.82700000000001",2020-12-01,30
"36.7409,-86.5815",2020-12-01,31
